,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
7431,24.0,49.0,11.0,0.153,3.683,0.5,0.691,-0.125
7432,24.0,49.0,12.0,0.151,3.626,0.5,0.691,-0.125
7433,24.0,49.0,13.0,0.15,3.46,0.522,0.691,-0.173
7434,24.0,49.0,14.0,0.136,3.125,0.522,0.691,-0.173
7435,24.0,49.0,15.0,0.139,3.193,0.522,0.717,-0.171
7436,24.0,49.0,16.0,0.144,3.315,0.522,0.717,-0.171
7437,24.0,49.0,17.0,0.128,3.082,0.5,0.717,-0.213
7438,24.0,49.0,18.0,0.156,3.436,0.455,0.92,-0.213
7439,24.0,49.0,19.0,0.155,3.258,0.476,0.92,-0.267
7440,24.0,50.0,5.0,0.109,4.049,0.432,0.97,-0.128
7441,24.0,50.0,6.0,0.121,3.989,0.394,0.695,-0.12
7442,24.0,50.0,7.0,0.113,3.73,0.394,0.717,-0.15
7443,24.0,50.0,8.0,0.128,3.841,0.433,0.695,-0.15
7444,24.0,50.0,9.0,0.128,3.702,0.448,0.754,-0.15
7445,24.0,50.0,10.0,0.131,3.785,0.448,0.754,-0.15
7446,24.0,50.0,11.0,0.154,3.7,0.5,0.691,-0.125
7447,24.0,50.0,12.0,0.154,3.551,0.522,0.691,-0.173
7448,24.0,50.0,13.0,0.149,3.423,0.522,0.691,-0.173
7449,24.0,50.0,14.0,0.135,3.109,0.522,0.691,-0.173
7450,24.0,50.0,15.0,0.14,3.209,0.522,0.717,-0.171
7451,24.0,50.0,16.0,0.141,3.376,0.5,0.717,-0.161
7452,24.0,50.0,17.0,0.138,3.172,0.478,0.717,-0.162
7453,24.0,50.0,18.0,0.165,3.461,0.476,0.92,-0.213
7454,24.0,50.0,19.0,0.155,3.25,0.476,0.92,-0.267
7455,24.0,51.0,5.0,0.11,4.083,0.432,0.97,-0.128
7456,24.0,51.0,6.0,0.123,3.821,0.419,0.695,-0.15
7457,24.0,51.0,7.0,0.123,3.809,0.419,0.717,-0.15
7458,24.0,51.0,8.0,0.122,3.784,0.419,0.695,-0.15
7459,24.0,51.0,9.0,0.122,3.671,0.433,0.754,-0.15
7460,24.0,51.0,10.0,0.147,3.81,0.5,0.691,-0.137
7461,24.0,51.0,11.0,0.161,3.713,0.522,0.691,-0.125
7462,24.0,51.0,12.0,0.155,3.558,0.522,0.691,-0.173
7463,24.0,51.0,13.0,0.149,3.423,0.522,0.691,-0.173
7464,24.0,51.0,14.0,0.136,3.12,0.522,0.691,-0.173
7465,24.0,51.0,15.0,0.138,3.319,0.5,0.717,-0.171
7466,24.0,51.0,16.0,0.133,3.193,0.5,0.717,-0.162
7467,24.0,51.0,17.0,0.146,3.368,0.478,0.865,-0.162
7468,24.0,51.0,18.0,0.166,3.477,0.476,0.92,-0.213
7469,24.0,51.0,19.0,0.155,3.25,0.476,0.92,-0.267
7470,24.0,52.0,5.0,0.11,4.083,0.432,0.97,-0.128
7471,24.0,52.0,6.0,0.123,3.817,0.419,0.695,-0.15
7472,24.0,52.0,7.0,0.124,3.841,0.419,0.717,-0.15
7473,24.0,52.0,8.0,0.124,3.722,0.433,0.695,-0.15
7474,24.0,52.0,9.0,0.114,3.65,0.406,0.754,-0.15
7475,24.0,52.0,10.0,0.145,3.768,0.5,0.691,-0.137
7476,24.0,52.0,11.0,0.161,3.701,0.522,0.691,-0.125
7477,24.0,52.0,12.0,0.156,3.587,0.522,0.691,-0.136
7478,24.0,52.0,13.0,0.137,3.142,0.522,0.691,-0.173
7479,24.0,52.0,14.0,0.132,3.159,0.5,0.717,-0.173
7480,24.0,52.0,15.0,0.139,3.345,0.5,0.717,-0.171
7481,24.0,52.0,16.0,0.143,3.28,0.522,0.717,-0.162
7482,24.0,52.0,17.0,0.171,3.581,0.476,0.92,-0.162
7483,24.0,52.0,18.0,0.155,3.258,0.476,0.92,-0.267
7484,24.0,52.0,19.0,0.189,3.959,0.429,2.129,-0.267
7485,24.0,53.0,5.0,0.114,3.976,0.429,0.695,-0.117
7486,24.0,53.0,6.0,0.117,3.739,0.406,0.695,-0.15
7487,24.0,53.0,7.0,0.124,3.848,0.419,0.717,-0.15
7488,24.0,53.0,8.0,0.121,3.639,0.433,0.695,-0.15
7489,24.0,53.0,9.0,0.121,3.642,0.433,0.695,-0.15
7490,24.0,53.0,10.0,0.161,3.861,0.542,0.691,-0.137
7491,24.0,53.0,11.0,0.15,3.602,0.5,0.691,-0.137
7492,24.0,53.0,12.0,0.145,3.486,0.5,0.691,-0.161
7493,24.0,53.0,13.0,0.13,3.128,0.5,0.691,-0.173
7494,24.0,53.0,14.0,0.134,3.21,0.5,0.717,-0.173
7495,24.0,53.0,15.0,0.145,3.341,0.522,0.717,-0.171
7496,24.0,53.0,16.0,0.146,3.359,0.522,0.717,-0.162
7497,24.0,53.0,17.0,0.172,3.604,0.476,0.92,-0.162
7498,24.0,53.0,18.0,0.155,3.25,0.476,0.92,-0.267
7499,24.0,53.0,19.0,0.189,3.97,0.429,2.129,-0.267
7500,25.0,30.0,5.0,0.089,4.086,0.413,0.97,-0.134
7501,25.0,30.0,6.0,0.09,4.062,0.444,0.97,-0.134
7502,25.0,30.0,7.0,0.125,4.362,0.543,0.97,-0.134
7503,25.0,30.0,8.0,0.128,3.955,0.548,0.731,-0.134
7504,25.0,30.0,9.0,0.131,3.926,0.567,0.731,-0.12
7505,25.0,30.0,10.0,0.124,3.733,0.533,0.731,-0.15
7506,25.0,30.0,11.0,0.13,3.776,0.517,0.731,-0.13
7507,25.0,30.0,12.0,0.146,3.932,0.556,0.731,-0.13
7508,25.0,30.0,13.0,0.153,3.982,0.538,0.731,-0.13
7509,25.0,30.0,14.0,0.147,3.822,0.538,0.731,-0.13
7510,25.0,30.0,15.0,0.145,3.924,0.519,0.795,-0.105
7511,25.0,30.0,16.0,0.174,3.999,0.565,0.795,-0.105
7512,25.0,30.0,17.0,0.167,4.001,0.542,0.794,-0.105
7513,25.0,30.0,18.0,0.164,3.943,0.542,0.776,-0.14
7514,25.0,30.0,19.0,0.164,3.77,0.565,0.776,-0.196
7515,25.0,31.0,5.0,0.087,4.088,0.426,0.97,-0.134
